Temps;EA0
11.319;0.809344127774239
11.34;0.669284597039223
11.361;0.534227192401886
11.382;0.389165535569191
11.403;0.244103878736496
11.424;0.0740315914154053
11.445;-0.081034317612648
11.466;-0.236100226640701
11.487;-0.386164009571075
11.508;-0.521221414208412
11.529;-0.661280944943428
11.55;-0.796338349580765
11.571;-0.936397880315781
11.592;-1.0764574110508
11.613;-1.20651268959045
11.634;-1.33656796813011
11.655;-1.45161686837673
11.676;-1.55666151642799
11.697;-1.6266912817955
11.718;-1.69672104716301
11.739;-1.7467423081398
11.76;-1.78675931692123
11.781;-1.81176994740963
11.802;-1.81176994740963
11.823;-1.79676356911659
11.844;-1.76174868643284
11.865;-1.71172742545605
11.886;-1.65670403838158
11.907;-1.58167214691639
11.928;-1.49163387715817
11.949;-1.38158710300922
11.97;-1.25653395056725
11.991;-1.12147654592991
12.012;-0.986419141292572
12.033;-0.846359610557556
12.054;-0.711302205920219
12.075;-0.581246927380562
12.096;-0.446189522743225
12.117;-0.296125739812851
12.138;-0.151064082980156
12.159;0.00400182604789734
12.18;0.154065608978271
12.201;0.309131518006325
12.222;0.459195300936699
12.243;0.594252705574036
12.264;0.719305858016014
12.285;0.844359010457993
12.306;0.954405784606934
12.327;1.05444830656052
12.348;1.13948445022106
12.369;1.19950996339321
12.39;1.24953122437
12.411;1.26953972876072
12.432;1.26953972876072
12.453;1.26953972876072
12.474;1.23952697217464
12.495;1.19950996339321
12.516;1.13948445022106
12.537;1.0594504326582
12.558;0.954405784606934
12.579;0.844359010457993
12.6;0.719305858016014
12.621;0.594252705574036
12.642;0.459195300936699
12.663;0.314133644104004
12.684;0.159067735075951
12.705;0.0140060782432556
12.726;-0.136057704687119
12.747;-0.286121487617493
12.768;-0.431183144450188
12.789;-0.561238422989845
12.81;-0.681289449334145
12.831;-0.816346853971481
12.852;-0.951404258608818
12.873;-1.08646166324615
12.894;-1.21151481568813
12.915;-1.33656796813011
12.936;-1.44161261618137
12.957;-1.5316508859396
12.978;-1.60668277740479
12.999;-1.66670829057693
13.02;-1.70172317326069
13.041;-1.73673805594444
13.062;-1.7467423081398
13.083;-1.7467423081398
13.104;-1.72673380374908
13.125;-1.69672104716301
13.146;-1.64169766008854
13.167;-1.58167214691639
13.188;-1.5066402554512
13.209;-1.41660198569298
13.23;-1.30655521154404
13.251;-1.1714978069067
13.272;-1.04644465446472
13.293;-0.921391502022743
13.314;-0.776329845190048
13.335;-0.65127669274807
13.356;-0.526223540306091
13.377;-0.391166135668755
13.398;-0.251106604933739
13.419;-0.111047074198723
13.44;0.0390167087316513
13.461;0.189080491662025
13.482;0.324137896299362
13.503;0.469199553132057
13.524;0.594252705574036
13.545;0.714303731918335
13.566;0.834354758262634
13.587;0.939399406313896
13.608;1.02443554997444
13.629;1.09946744143963
13.65;1.1544908285141
13.671;1.19450783729553
13.692;1.21451634168625
13.713;1.21451634168625
13.734;1.19950996339321
13.755;1.17449933290482
13.776;1.1294801980257
13.797;1.05444830656052
13.818;0.969412162899971
13.839;0.869369640946388
13.86;0.759322866797447
13.881;0.644273966550827
13.902;0.519220814108849
13.923;0.384163409471512
13.944;0.254108130931854
13.965;0.099042221903801
13.986;-0.046019434928894
14.007;-0.196083217859268
14.028;-0.341144874691963
14.049;-0.471200153231621
14.07;-0.596253305673599
14.091;-0.711302205920219
14.112;-0.846359610557556
14.133;-0.976414889097214
14.154;-1.09646591544151
14.175;-1.21651694178581
14.196;-1.32656371593475
14.217;-1.43160836398602
14.238;-1.51664450764656
14.259;-1.58167214691639
