Temps;EA0
11.277;-1.63669553399086
11.298;-1.76675081253052
11.319;-1.88179971277714
11.34;-1.97684010863304
11.361;-2.05687412619591
11.382;-2.12690389156342
11.403;-2.18192727863789
11.424;-2.21194003522396
11.445;-2.24195279181004
11.466;-2.24695491790771
11.487;-2.23194853961468
11.508;-2.21694216132164
11.529;-2.17692515254021
11.55;-2.11689963936806
11.571;-2.04686987400055
11.592;-1.97183798253536
11.613;-1.8667933344841
11.634;-1.75174443423748
11.655;-1.6266912817955
11.676;-1.49663600325584
11.697;-1.35657647252083
11.718;-1.20651268959045
11.739;-1.04144252836704
11.76;-0.88137449324131
11.781;-0.716304332017898
11.802;-0.561238422989845
11.823;-0.406172513961792
11.844;-0.261110857129097
11.865;-0.0960406959056854
11.886;0.0690294653177261
11.907;0.249106004834175
11.928;0.434184670448303
11.949;0.594252705574036
11.97;0.769327118992806
11.991;0.929395154118538
12.012;1.09946744143963
12.033;1.26453760266304
12.054;1.40459713339806
12.075;1.53965453803539
12.096;1.65470343828201
12.117;1.77475446462631
12.138;1.87979911267757
12.159;1.95483100414276
12.18;2.02486076951027
12.201;2.07488203048706
12.222;2.10989691317081
12.243;2.11990116536617
12.264;2.12490329146385
12.285;2.10489478707314
12.306;2.0648777782917
12.327;2.01485651731491
12.348;1.9448267519474
12.369;1.85979060828686
12.39;1.76475021243095
12.411;1.64970131218433
12.432;1.52464815974236
12.453;1.3945928812027
12.474;1.24452909827232
12.495;1.08946318924427
12.516;0.909386649727821
12.537;0.74431648850441
12.558;0.574244201183319
12.579;0.414176166057587
12.6;0.229097500443459
12.621;0.0490209609270096
12.642;-0.121051326394081
12.663;-0.276117235422134
12.684;-0.431183144450188
12.705;-0.571242675185204
12.726;-0.736312836408615
12.747;-0.891378745436668
12.768;-1.0514467805624
12.789;-1.21651694178581
12.81;-1.36157859861851
12.831;-1.50163812935352
12.852;-1.63169340789318
12.873;-1.75174443423748
12.894;-1.8667933344841
12.915;-1.96683585643768
12.936;-2.04186774790287
12.957;-2.11189751327038
12.978;-2.16692090034485
12.999;-2.19693365693092
13.02;-2.22194428741932
13.041;-2.23194853961468
13.062;-2.21194003522396
13.083;-2.19693365693092
13.104;-2.15691664814949
13.125;-2.1068953871727
13.146;-2.03186349570751
13.167;-1.95683160424232
13.188;-1.85178695619106
13.209;-1.74174018204212
13.23;-1.60668277740479
13.251;-1.48162962496281
13.272;-1.34157009422779
13.293;-1.19150631129742
13.314;-1.02643615007401
13.335;-0.871370241045952
13.356;-0.711302205920219
13.377;-0.551234170794487
13.398;-0.406172513961792
13.419;-0.256108731031418
13.44;-0.0910385698080063
13.461;0.0690294653177261
13.482;0.249106004834175
13.503;0.424180418252945
13.524;0.599254831671715
13.545;0.759322866797447
13.566;0.929395154118538
13.587;1.09946744143963
13.608;1.24953122437
13.629;1.39959500730038
13.65;1.52464815974236
13.671;1.64469918608665
13.692;1.75974808633327
13.713;1.85979060828686
13.734;1.93982462584972
13.755;2.00485226511955
13.776;2.05487352609634
13.797;2.09489053487778
13.818;2.10489478707314
13.839;2.10489478707314
13.86;2.08488628268242
